2022-06-13 13:34:34;0
2022-06-13 13:34:34;0
2022-06-13 13:34:34;0
2022-06-13 13:34:34;0
2022-06-13 13:34:34;0
2022-06-13 13:34:34;0
2022-06-13 13:34:35;0
2022-06-13 13:34:35;0
2022-06-13 13:34:35;0
2022-06-13 13:34:35;0
2022-06-13 13:34:35;0
2022-06-13 13:34:36;0
2022-06-13 13:34:36;0
2022-06-13 13:34:36;0
2022-06-13 13:34:36;0
2022-06-13 13:34:36;0
2022-06-13 13:34:36;0
2022-06-13 13:34:36;0
2022-06-13 13:34:37;0
2022-06-13 13:34:37;0
2022-06-13 13:34:37;0
2022-06-13 13:34:37;0
2022-06-13 13:34:37;0
2022-06-13 13:34:37;0
2022-06-13 13:34:38;0
2022-06-13 13:34:38;0
2022-06-13 13:34:38;0
2022-06-13 13:34:38;0
2022-06-13 13:34:38;0
2022-06-13 13:34:38;0
2022-06-13 13:34:39;0
2022-06-13 13:34:39;0
2022-06-13 13:34:39;0
2022-06-13 13:34:39;0
2022-06-13 13:34:39;0
2022-06-13 13:34:39;0
2022-06-13 13:34:40;0
2022-06-13 13:34:40;0
2022-06-13 13:34:40;0
2022-06-13 13:34:40;0
2022-06-13 13:34:40;0
2022-06-13 13:34:40;0
2022-06-13 13:34:41;0
2022-06-13 13:34:41;0
2022-06-13 13:34:41;0
2022-06-13 13:34:41;0
2022-06-13 13:34:41;0
2022-06-13 13:34:41;0
2022-06-13 13:34:42;0
2022-06-13 13:34:42;0
2022-06-13 13:34:42;0
2022-06-13 13:34:42;0
2022-06-13 13:34:42;0
2022-06-13 13:34:42;0
2022-06-13 13:34:43;0
2022-06-13 13:34:43;0
2022-06-13 13:34:43;0
2022-06-13 13:34:43;0
2022-06-13 13:34:43;0
2022-06-13 13:34:44;0
2022-06-13 13:34:44;0
2022-06-13 13:34:44;0
2022-06-13 13:34:44;0
2022-06-13 13:34:44;0
2022-06-13 13:34:45;0
2022-06-13 13:34:45;0
2022-06-13 13:34:45;0
2022-06-13 13:34:45;0
2022-06-13 13:34:45;0
2022-06-13 13:34:45;0
2022-06-13 13:34:46;0
2022-06-13 13:34:46;0
2022-06-13 13:34:46;0
2022-06-13 13:34:46;0
2022-06-13 13:34:46;0
2022-06-13 13:34:46;0
2022-06-13 13:34:47;0
2022-06-13 13:34:47;0
2022-06-13 13:34:47;0
2022-06-13 13:34:47;0
2022-06-13 13:34:47;0
2022-06-13 13:34:47;0
2022-06-13 13:34:48;0
2022-06-13 13:34:48;0
2022-06-13 13:34:48;0
2022-06-13 13:34:48;0
2022-06-13 13:34:48;0
2022-06-13 13:34:49;0
2022-06-13 13:34:49;0
2022-06-13 13:34:49;0
2022-06-13 13:34:49;0
2022-06-13 13:34:49;0
2022-06-13 13:34:50;0
2022-06-13 13:34:50;0
2022-06-13 13:34:50;0
2022-06-13 13:34:50;0
2022-06-13 13:34:50;0
2022-06-13 13:34:50;0
2022-06-13 13:34:51;0
2022-06-13 13:34:51;0
2022-06-13 13:34:51;0
2022-06-13 13:34:51;0
2022-06-13 13:34:51;0
2022-06-13 13:34:51;0
2022-06-13 13:34:52;0
2022-06-13 13:34:52;0
2022-06-13 13:34:52;0
2022-06-13 13:34:52;0
2022-06-13 13:34:52;0
2022-06-13 13:34:53;0
2022-06-13 13:34:53;0
2022-06-13 13:34:53;0
2022-06-13 13:34:53;0
2022-06-13 13:34:53;0
2022-06-13 13:34:54;0
2022-06-13 13:34:54;0
2022-06-13 13:34:54;0
2022-06-13 13:34:54;0
2022-06-13 13:34:54;0
2022-06-13 13:34:54;0
2022-06-13 13:34:55;0
2022-06-13 13:34:55;0
2022-06-13 13:34:55;0
2022-06-13 13:34:55;0
2022-06-13 13:34:55;0
2022-06-13 13:34:55;0
2022-06-13 13:34:56;0
2022-06-13 13:34:56;0
2022-06-13 13:34:56;0
2022-06-13 13:34:56;0
2022-06-13 13:34:56;0
2022-06-13 13:34:56;0
2022-06-13 13:34:57;0
2022-06-13 13:34:57;0
2022-06-13 13:34:57;0
2022-06-13 13:34:57;0
2022-06-13 13:34:57;0
2022-06-13 13:34:58;0
2022-06-13 13:34:58;0
2022-06-13 13:34:58;0
2022-06-13 13:34:58;0
2022-06-13 13:34:58;0
2022-06-13 13:34:58;0
2022-06-13 13:34:59;0
2022-06-13 13:34:59;0
2022-06-13 13:34:59;0
2022-06-13 13:34:59;0
2022-06-13 13:34:59;0
2022-06-13 13:34:59;0
2022-06-13 13:35:00;0
2022-06-13 13:35:00;0
2022-06-13 13:35:00;0
2022-06-13 13:35:00;0
2022-06-13 13:35:00;0
2022-06-13 13:35:00;0
2022-06-13 13:35:01;0
2022-06-13 13:35:01;0
2022-06-13 13:35:01;0
2022-06-13 13:35:01;0
2022-06-13 13:35:01;0
2022-06-13 13:35:01;0
2022-06-13 13:35:02;0
2022-06-13 13:35:02;0
2022-06-13 13:35:02;0
2022-06-13 13:35:02;0
2022-06-13 13:35:02;0
2022-06-13 13:35:02;0
2022-06-13 13:35:02;0
2022-06-13 13:35:03;0
2022-06-13 13:35:03;0
2022-06-13 13:35:03;0
2022-06-13 13:35:03;0
2022-06-13 13:35:03;0
2022-06-13 13:35:03;0
2022-06-13 13:35:03;0
2022-06-13 13:35:04;0
2022-06-13 13:35:04;0
2022-06-13 13:35:04;0
2022-06-13 13:35:04;0
2022-06-13 13:35:04;0
2022-06-13 13:35:04;0
2022-06-13 13:35:04;0
2022-06-13 13:35:05;0
2022-06-13 13:35:05;0
2022-06-13 13:35:05;0
2022-06-13 13:35:05;0
2022-06-13 13:35:05;0
2022-06-13 13:35:05;0
2022-06-13 13:35:06;0
2022-06-13 13:35:06;0
2022-06-13 13:35:06;0
2022-06-13 13:35:06;0
2022-06-13 13:35:06;0
2022-06-13 13:35:06;0
2022-06-13 13:35:07;0
2022-06-13 13:35:07;0
2022-06-13 13:35:07;0
2022-06-13 13:35:07;0
2022-06-13 13:35:07;0
2022-06-13 13:35:07;0
2022-06-13 13:35:08;0
2022-06-13 13:35:08;0
2022-06-13 13:35:08;0
2022-06-13 13:35:08;0
2022-06-13 13:35:08;0
2022-06-13 13:35:09;0
2022-06-13 13:35:09;0
2022-06-13 13:35:09;0
2022-06-13 13:35:09;0
2022-06-13 13:35:09;0
2022-06-13 13:35:09;0
2022-06-13 13:35:10;0
2022-06-13 13:35:10;0
2022-06-13 13:35:10;0
2022-06-13 13:35:10;0
2022-06-13 13:35:10;0
2022-06-13 13:35:10;0
2022-06-13 13:35:10;0
2022-06-13 13:35:11;0
2022-06-13 13:35:11;0
2022-06-13 13:35:11;0
2022-06-13 13:35:11;0
2022-06-13 13:35:11;0
2022-06-13 13:35:12;0
2022-06-13 13:35:12;0
2022-06-13 13:35:12;0
2022-06-13 13:35:12;0
2022-06-13 13:35:12;0
2022-06-13 13:35:12;0
2022-06-13 13:35:13;0
2022-06-13 13:35:13;0
2022-06-13 13:35:13;0
2022-06-13 13:35:13;0
2022-06-13 13:35:13;0
2022-06-13 13:35:14;0
2022-06-13 13:35:14;0
2022-06-13 13:35:14;0
2022-06-13 13:35:14;0
2022-06-13 13:35:14;0
2022-06-13 13:35:14;0
2022-06-13 13:35:15;0
2022-06-13 13:35:15;0
2022-06-13 13:35:15;0
2022-06-13 13:35:15;0
2022-06-13 13:35:15;0
2022-06-13 13:35:16;0
2022-06-13 13:35:16;0
2022-06-13 13:35:16;0
2022-06-13 13:35:16;0
2022-06-13 13:35:16;0
2022-06-13 13:35:16;0
2022-06-13 13:35:17;0
2022-06-13 13:35:17;0
2022-06-13 13:35:17;0
2022-06-13 13:35:17;0
2022-06-13 13:35:18;0
2022-06-13 13:35:18;0
2022-06-13 13:35:18;0
2022-06-13 13:35:18;0
2022-06-13 13:35:18;0
2022-06-13 13:35:19;0
2022-06-13 13:35:19;0
2022-06-13 13:35:19;0
2022-06-13 13:35:19;0
2022-06-13 13:35:19;0
2022-06-13 13:35:20;0
2022-06-13 13:35:20;0
2022-06-13 13:35:20;0
2022-06-13 13:35:20;0
2022-06-13 13:35:20;0
2022-06-13 13:35:20;0
2022-06-13 13:35:21;0
2022-06-13 13:35:21;0
2022-06-13 13:35:21;0
2022-06-13 13:35:21;0
2022-06-13 13:35:21;0
2022-06-13 13:35:22;0
2022-06-13 13:35:22;0
2022-06-13 13:35:22;0
2022-06-13 13:35:22;0
2022-06-13 13:35:22;0
2022-06-13 13:35:22;0
2022-06-13 13:35:22;0
2022-06-13 13:35:23;0
2022-06-13 13:35:23;0
2022-06-13 13:35:23;0
2022-06-13 13:35:23;0
2022-06-13 13:35:23;0
2022-06-13 13:35:23;0
2022-06-13 13:35:24;0
2022-06-13 13:35:24;0
2022-06-13 13:35:24;0
2022-06-13 13:35:24;0
2022-06-13 13:35:24;0
2022-06-13 13:35:25;0
2022-06-13 13:35:25;0
2022-06-13 13:35:25;0
2022-06-13 13:35:25;0
2022-06-13 13:35:25;0
2022-06-13 13:35:26;0
2022-06-13 13:35:26;0
2022-06-13 13:35:26;0
2022-06-13 13:35:26;0
2022-06-13 13:35:26;0
2022-06-13 13:35:26;0
2022-06-13 13:35:27;0
2022-06-13 13:35:27;0
2022-06-13 13:35:27;0
2022-06-13 13:35:27;0
2022-06-13 13:35:27;0
2022-06-13 13:35:27;0
2022-06-13 13:35:28;0
2022-06-13 13:35:28;0
2022-06-13 13:35:28;0
2022-06-13 13:35:28;0
2022-06-13 13:35:28;0
2022-06-13 13:35:28;0
2022-06-13 13:35:29;0
2022-06-13 13:35:29;0
2022-06-13 13:35:29;0
2022-06-13 13:35:29;0
2022-06-13 13:35:29;0
2022-06-13 13:35:29;0
2022-06-13 13:35:30;0
2022-06-13 13:35:30;0
2022-06-13 13:35:30;0
2022-06-13 13:35:30;0
2022-06-13 13:35:30;0
2022-06-13 13:35:31;0
2022-06-13 13:35:31;0
2022-06-13 13:35:31;0
2022-06-13 13:35:31;0
2022-06-13 13:35:31;0
2022-06-13 13:35:32;0
2022-06-13 13:35:32;0
2022-06-13 13:35:32;0
2022-06-13 13:35:32;0
2022-06-13 13:35:32;0
2022-06-13 13:35:33;0
2022-06-13 13:35:33;0
2022-06-13 13:35:33;0
2022-06-13 13:35:33;0
2022-06-13 13:35:33;0
2022-06-13 13:35:33;0
2022-06-13 13:35:34;0
2022-06-13 13:35:34;0
2022-06-13 13:35:34;0
2022-06-13 13:35:34;0
2022-06-13 13:35:34;0
2022-06-13 13:35:35;0
2022-06-13 13:35:35;0
2022-06-13 13:35:35;0
2022-06-13 13:35:35;0
2022-06-13 13:35:35;0
2022-06-13 13:35:36;0
2022-06-13 13:35:36;0
2022-06-13 13:35:36;0
2022-06-13 13:35:36;0
2022-06-13 13:35:36;0
2022-06-13 13:35:36;0
2022-06-13 13:35:37;0
2022-06-13 13:35:37;0
2022-06-13 13:35:37;0
2022-06-13 13:35:37;0
2022-06-13 13:35:37;0
2022-06-13 13:35:38;0
2022-06-13 13:35:38;0
2022-06-13 13:35:38;0
2022-06-13 13:35:38;0
2022-06-13 13:35:39;0
2022-06-13 13:35:39;0
2022-06-13 13:35:39;0
2022-06-13 13:35:39;0
2022-06-13 13:35:39;0
2022-06-13 13:35:39;0
2022-06-13 13:35:40;0
2022-06-13 13:35:40;0
2022-06-13 13:35:40;0
2022-06-13 13:35:40;0
2022-06-13 13:35:40;0
2022-06-13 13:35:41;0
2022-06-13 13:35:41;0
2022-06-13 13:35:41;0
2022-06-13 13:35:41;0
2022-06-13 13:35:41;0
2022-06-13 13:35:41;0
2022-06-13 13:35:42;0
2022-06-13 13:35:42;0
2022-06-13 13:35:42;0
2022-06-13 13:35:42;0
2022-06-13 13:35:42;0
2022-06-13 13:35:42;0
2022-06-13 13:35:43;0
2022-06-13 13:35:43;0
2022-06-13 13:35:43;0
2022-06-13 13:35:43;0
2022-06-13 13:35:43;0
2022-06-13 13:35:44;0
2022-06-13 13:35:44;0
2022-06-13 13:35:44;0
2022-06-13 13:35:44;0
2022-06-13 13:35:44;0
2022-06-13 13:35:44;0
2022-06-13 13:35:44;0
2022-06-13 13:35:45;0
2022-06-13 13:35:45;0
2022-06-13 13:35:45;0
2022-06-13 13:35:45;0
2022-06-13 13:35:45;0
2022-06-13 13:35:46;0
2022-06-13 13:35:46;0
2022-06-13 13:35:46;0
2022-06-13 13:35:46;0
2022-06-13 13:35:46;0
2022-06-13 13:35:46;0
2022-06-13 13:35:46;0
2022-06-13 13:35:47;0
2022-06-13 13:35:47;0
2022-06-13 13:35:47;0
2022-06-13 13:35:47;0
2022-06-13 13:35:47;0
2022-06-13 13:35:47;0
2022-06-13 13:35:48;0
2022-06-13 13:35:48;0
2022-06-13 13:35:48;0
2022-06-13 13:35:48;0
2022-06-13 13:35:48;0
2022-06-13 13:35:49;0
2022-06-13 13:35:49;0
2022-06-13 13:35:49;0
2022-06-13 13:35:49;0
2022-06-13 13:35:49;0
2022-06-13 13:35:49;0
2022-06-13 13:35:50;0
2022-06-13 13:35:50;0
2022-06-13 13:35:50;0
2022-06-13 13:35:50;0
2022-06-13 13:35:50;0
2022-06-13 13:35:51;0
2022-06-13 13:35:51;0
2022-06-13 13:35:51;0
2022-06-13 13:35:51;0
2022-06-13 13:35:51;0
2022-06-13 13:35:52;0
2022-06-13 13:35:52;0
2022-06-13 13:35:52;0
2022-06-13 13:35:52;0
2022-06-13 13:35:52;0
2022-06-13 13:35:53;0
2022-06-13 13:35:53;0
2022-06-13 13:35:53;0
2022-06-13 13:35:53;0
2022-06-13 13:35:53;0
2022-06-13 13:35:53;0
2022-06-13 13:35:54;0
2022-06-13 13:35:54;0
2022-06-13 13:35:54;0
2022-06-13 13:35:54;0
2022-06-13 13:35:54;0
2022-06-13 13:35:55;0
2022-06-13 13:35:55;0
2022-06-13 13:35:55;0
2022-06-13 13:35:55;0
2022-06-13 13:35:55;0
2022-06-13 13:35:56;0
2022-06-13 13:35:56;0
2022-06-13 13:35:56;0
2022-06-13 13:35:56;0
2022-06-13 13:35:56;0
2022-06-13 13:35:57;0
2022-06-13 13:35:57;0
2022-06-13 13:35:57;0
2022-06-13 13:35:57;0
2022-06-13 13:35:57;0
2022-06-13 13:35:58;0
2022-06-13 13:35:58;0
2022-06-13 13:35:58;0
2022-06-13 13:35:58;0
2022-06-13 13:35:58;0
2022-06-13 13:35:59;0
2022-06-13 13:35:59;0
2022-06-13 13:35:59;0
2022-06-13 13:35:59;0
2022-06-13 13:35:59;0
2022-06-13 13:36:00;0
2022-06-13 13:36:00;0
2022-06-13 13:36:00;0
2022-06-13 13:36:00;0
2022-06-13 13:36:00;0
2022-06-13 13:36:00;0
2022-06-13 13:36:01;0
2022-06-13 13:36:01;0
2022-06-13 13:36:01;0
2022-06-13 13:36:01;0
2022-06-13 13:36:01;0
2022-06-13 13:36:02;0
2022-06-13 13:36:02;0
2022-06-13 13:36:02;0
2022-06-13 13:36:02;0
2022-06-13 13:36:02;0
2022-06-13 13:36:02;0
2022-06-13 13:36:03;0
2022-06-13 13:36:03;0
2022-06-13 13:36:03;0
2022-06-13 13:36:03;0
2022-06-13 13:36:03;0
2022-06-13 13:36:03;0
2022-06-13 13:36:04;0
2022-06-13 13:36:04;0
2022-06-13 13:36:04;0
2022-06-13 13:36:04;0
2022-06-13 13:36:04;0
2022-06-13 13:36:05;0
2022-06-13 13:36:05;0
2022-06-13 13:36:05;0
2022-06-13 13:36:05;0
2022-06-13 13:36:05;0
2022-06-13 13:36:05;0
2022-06-13 13:36:06;0
2022-06-13 13:36:06;0
2022-06-13 13:36:06;0
2022-06-13 13:36:06;0
2022-06-13 13:36:06;0
2022-06-13 13:36:06;0
2022-06-13 13:36:07;0
2022-06-13 13:36:07;0
2022-06-13 13:36:07;0
2022-06-13 13:36:07;0
2022-06-13 13:36:07;0
2022-06-13 13:36:08;0
2022-06-13 13:36:08;0
2022-06-13 13:36:08;0
2022-06-13 13:36:08;0
2022-06-13 13:36:08;0
2022-06-13 13:36:09;0
2022-06-13 13:36:09;0
2022-06-13 13:36:09;0
2022-06-13 13:36:09;0
2022-06-13 13:36:09;0
2022-06-13 13:36:09;0
2022-06-13 13:36:10;0
2022-06-13 13:36:10;0
2022-06-13 13:36:10;0
2022-06-13 13:36:10;0
2022-06-13 13:36:11;0
2022-06-13 13:36:11;0
2022-06-13 13:36:11;0
2022-06-13 13:36:11;0
2022-06-13 13:36:11;0
2022-06-13 13:36:12;0
2022-06-13 13:36:12;0
2022-06-13 13:36:12;0
2022-06-13 13:36:12;0
2022-06-13 13:36:12;0
2022-06-13 13:36:13;0
2022-06-13 13:36:13;0
2022-06-13 13:36:13;0
2022-06-13 13:36:13;0
2022-06-13 13:36:13;0
2022-06-13 13:36:13;0
2022-06-13 13:36:14;0
2022-06-13 13:36:14;0
2022-06-13 13:36:14;0
2022-06-13 13:36:14;0
2022-06-13 13:36:14;0
2022-06-13 13:36:14;0
2022-06-13 13:36:15;0
2022-06-13 13:36:15;0
2022-06-13 13:36:15;0
2022-06-13 13:36:15;0
2022-06-13 13:36:16;0
2022-06-13 13:36:16;0
2022-06-13 13:36:16;0
2022-06-13 13:36:16;0
2022-06-13 13:36:16;0
2022-06-13 13:36:16;0
2022-06-13 13:36:17;0
2022-06-13 13:36:17;0
2022-06-13 13:36:17;0
2022-06-13 13:36:17;0
2022-06-13 13:36:17;0
2022-06-13 13:36:18;0
2022-06-13 13:36:18;0
2022-06-13 13:36:18;0
2022-06-13 13:36:18;0
2022-06-13 13:36:18;0
2022-06-13 13:36:19;0
2022-06-13 13:36:19;0
2022-06-13 13:36:19;0
2022-06-13 13:36:19;0
2022-06-13 13:36:19;0
2022-06-13 13:36:19;0
2022-06-13 13:36:20;0
2022-06-13 13:36:20;0
2022-06-13 13:36:20;0
2022-06-13 13:36:20;0
2022-06-13 13:36:20;0
2022-06-13 13:36:21;0
2022-06-13 13:36:21;0
2022-06-13 13:36:21;0
2022-06-13 13:36:21;0
2022-06-13 13:36:21;0
2022-06-13 13:36:22;0
2022-06-13 13:36:22;0
2022-06-13 13:36:22;0
2022-06-13 13:36:22;0
2022-06-13 13:36:22;0
2022-06-13 13:36:23;0
2022-06-13 13:36:23;0
2022-06-13 13:36:23;0
2022-06-13 13:36:23;0
2022-06-13 13:36:23;0
2022-06-13 13:36:23;0
2022-06-13 13:36:24;0
2022-06-13 13:36:24;0
2022-06-13 13:36:24;0
2022-06-13 13:36:24;0
2022-06-13 13:36:24;0
2022-06-13 13:36:25;0
2022-06-13 13:36:25;0
2022-06-13 13:36:25;0
2022-06-13 13:36:25;0
2022-06-13 13:36:25;0
2022-06-13 13:36:25;0
2022-06-13 13:36:26;0
2022-06-13 13:36:26;0
2022-06-13 13:36:26;0
2022-06-13 13:36:26;0
2022-06-13 13:36:26;0
2022-06-13 13:36:27;0
2022-06-13 13:36:27;0
2022-06-13 13:36:27;0
2022-06-13 13:36:27;0
2022-06-13 13:36:28;0
2022-06-13 13:36:28;0
2022-06-13 13:36:28;0
2022-06-13 13:36:28;0
2022-06-13 13:36:28;0
2022-06-13 13:36:29;0
2022-06-13 13:36:29;0
2022-06-13 13:36:29;0
2022-06-13 13:36:29;0
2022-06-13 13:36:30;0
2022-06-13 13:36:30;0
2022-06-13 13:36:30;0
2022-06-13 13:36:30;0
2022-06-13 13:36:30;0
2022-06-13 13:36:30;0
2022-06-13 13:36:31;0
2022-06-13 13:36:31;0
2022-06-13 13:36:31;0
2022-06-13 13:36:31;0
2022-06-13 13:36:31;0
2022-06-13 13:36:32;0
2022-06-13 13:36:32;0
2022-06-13 13:36:32;0
2022-06-13 13:36:32;0
2022-06-13 13:36:32;0
2022-06-13 13:36:32;0
2022-06-13 13:36:33;0
2022-06-13 13:36:33;0
2022-06-13 13:36:33;0
2022-06-13 13:36:33;0
2022-06-13 13:36:33;0
2022-06-13 13:36:34;0
2022-06-13 13:36:34;0
2022-06-13 13:36:34;0
2022-06-13 13:36:34;0
2022-06-13 13:36:34;0
2022-06-13 13:36:35;0
2022-06-13 13:36:35;0
2022-06-13 13:36:35;0
2022-06-13 13:36:35;0
2022-06-13 13:36:35;0
2022-06-13 13:36:36;0
2022-06-13 13:36:36;0
2022-06-13 13:36:36;0
2022-06-13 13:36:36;0
2022-06-13 13:36:36;0
2022-06-13 13:36:36;0
2022-06-13 13:36:37;0
2022-06-13 13:36:37;0
2022-06-13 13:36:37;0
2022-06-13 13:36:37;0
2022-06-13 13:36:37;0
2022-06-13 13:36:37;0
2022-06-13 13:36:37;0
2022-06-13 13:36:38;0
2022-06-13 13:36:38;0
2022-06-13 13:36:38;0
2022-06-13 13:36:38;0
2022-06-13 13:36:38;0
2022-06-13 13:36:38;0
2022-06-13 13:36:39;0
2022-06-13 13:36:39;0
2022-06-13 13:36:39;0
2022-06-13 13:36:39;0
2022-06-13 13:36:39;0
2022-06-13 13:36:39;0
2022-06-13 13:36:39;0
2022-06-13 13:36:40;0
2022-06-13 13:36:40;0
2022-06-13 13:36:40;0
2022-06-13 13:36:40;0
2022-06-13 13:36:40;0
2022-06-13 13:36:40;0
2022-06-13 13:36:41;0
2022-06-13 13:36:41;0
2022-06-13 13:36:41;0
2022-06-13 13:36:41;0
2022-06-13 13:36:41;0
2022-06-13 13:36:42;0
2022-06-13 13:36:42;0
2022-06-13 13:36:42;0
2022-06-13 13:36:42;0
2022-06-13 13:36:42;0
2022-06-13 13:36:42;0
2022-06-13 13:36:43;0
2022-06-13 13:36:43;0
2022-06-13 13:36:43;0
2022-06-13 13:36:43;0
2022-06-13 13:36:43;0
2022-06-13 13:36:43;0
2022-06-13 13:36:44;0
2022-06-13 13:36:44;0
2022-06-13 13:36:44;0
2022-06-13 13:36:44;0
2022-06-13 13:36:44;0
2022-06-13 13:36:44;0
2022-06-13 13:36:45;0
2022-06-13 13:36:45;0
2022-06-13 13:36:45;0
2022-06-13 13:36:45;0
2022-06-13 13:36:45;0
2022-06-13 13:36:45;0
2022-06-13 13:36:46;0
2022-06-13 13:36:46;0
2022-06-13 13:36:46;0
2022-06-13 13:36:46;0
2022-06-13 13:36:46;0
2022-06-13 13:36:46;0
2022-06-13 13:36:47;0
2022-06-13 13:36:47;0
2022-06-13 13:36:47;0
2022-06-13 13:36:47;0
2022-06-13 13:36:47;0
2022-06-13 13:36:47;0
2022-06-13 13:36:48;0
2022-06-13 13:36:48;0
2022-06-13 13:36:48;0
2022-06-13 13:36:48;0
2022-06-13 13:36:48;0
2022-06-13 13:36:48;0
2022-06-13 13:36:49;0
2022-06-13 13:36:49;0
2022-06-13 13:36:49;0
2022-06-13 13:36:49;0
2022-06-13 13:36:49;0
2022-06-13 13:36:50;0
2022-06-13 13:36:50;0
2022-06-13 13:36:50;0
2022-06-13 13:36:50;0
2022-06-13 13:36:50;0
2022-06-13 13:36:51;0
2022-06-13 13:36:51;0
2022-06-13 13:36:51;0
2022-06-13 13:36:51;0
2022-06-13 13:36:51;0
2022-06-13 13:36:51;0
2022-06-13 13:36:52;0
2022-06-13 13:36:52;0
2022-06-13 13:36:52;0
2022-06-13 13:36:52;0
2022-06-13 13:36:52;0
2022-06-13 13:36:53;0
2022-06-13 13:36:53;0
2022-06-13 13:36:53;0
2022-06-13 13:36:53;0
2022-06-13 13:36:53;0
2022-06-13 13:36:53;0
2022-06-13 13:36:54;0
2022-06-13 13:36:54;0
2022-06-13 13:36:54;0
2022-06-13 13:36:54;0
2022-06-13 13:36:54;0
2022-06-13 13:36:54;0
2022-06-13 13:36:55;0
2022-06-13 13:36:55;0
2022-06-13 13:36:55;0
2022-06-13 13:36:55;0
2022-06-13 13:36:55;0
2022-06-13 13:36:55;0
2022-06-13 13:36:56;0
2022-06-13 13:36:56;0
2022-06-13 13:36:56;0
2022-06-13 13:36:56;0
2022-06-13 13:36:56;0
2022-06-13 13:36:56;0
2022-06-13 13:36:56;0
2022-06-13 13:36:57;0
2022-06-13 13:36:57;0
2022-06-13 13:36:57;0
2022-06-13 13:36:57;0
2022-06-13 13:36:57;0
2022-06-13 13:36:57;0
2022-06-13 13:36:57;0
2022-06-13 13:36:58;0
2022-06-13 13:36:58;0
2022-06-13 13:36:58;0
2022-06-13 13:36:58;0
2022-06-13 13:36:58;0
2022-06-13 13:36:59;0
2022-06-13 13:36:59;0
2022-06-13 13:36:59;0
2022-06-13 13:36:59;0
2022-06-13 13:36:59;0
2022-06-13 13:36:59;0
2022-06-13 13:36:59;0
2022-06-13 13:37:00;0
2022-06-13 13:37:00;0
2022-06-13 13:37:00;0
2022-06-13 13:37:00;0
2022-06-13 13:37:00;0
2022-06-13 13:37:00;0
2022-06-13 13:37:01;0
2022-06-13 13:37:01;0
2022-06-13 13:37:01;0
2022-06-13 13:37:01;0
2022-06-13 13:37:01;0
2022-06-13 13:37:01;0
2022-06-13 13:37:02;0
2022-06-13 13:37:02;0
2022-06-13 13:37:02;0
2022-06-13 13:37:02;0
2022-06-13 13:37:02;0
2022-06-13 13:37:03;0
2022-06-13 13:37:03;0
2022-06-13 13:37:03;0
2022-06-13 13:37:03;0
2022-06-13 13:37:03;0
2022-06-13 13:37:03;0
2022-06-13 13:37:04;0
2022-06-13 13:37:04;0
2022-06-13 13:37:04;0
2022-06-13 13:37:04;0
2022-06-13 13:37:04;0
2022-06-13 13:37:04;0
2022-06-13 13:37:05;0
2022-06-13 13:37:05;0
2022-06-13 13:37:05;0
2022-06-13 13:37:05;0
2022-06-13 13:37:05;0
2022-06-13 13:37:06;0
2022-06-13 13:37:06;0
2022-06-13 13:37:06;0
2022-06-13 13:37:06;0
2022-06-13 13:37:06;0
2022-06-13 13:37:07;0
2022-06-13 13:37:07;0
2022-06-13 13:37:07;0
2022-06-13 13:37:07;0
2022-06-13 13:37:07;0
2022-06-13 13:37:07;0
2022-06-13 13:37:08;0
2022-06-13 13:37:08;0
2022-06-13 13:37:08;0
2022-06-13 13:37:08;0
2022-06-13 13:37:08;0
2022-06-13 13:37:08;0
2022-06-13 13:37:09;0
2022-06-13 13:37:09;0
2022-06-13 13:37:09;0
2022-06-13 13:37:09;0
2022-06-13 13:37:09;0
2022-06-13 13:37:10;0
2022-06-13 13:37:10;0
2022-06-13 13:37:10;0
2022-06-13 13:37:10;0
2022-06-13 13:37:11;0
2022-06-13 13:37:11;0
2022-06-13 13:37:11;0
2022-06-13 13:37:11;0
2022-06-13 13:37:11;0
2022-06-13 13:37:11;0
2022-06-13 13:37:12;0
2022-06-13 13:37:12;0
2022-06-13 13:37:12;0
2022-06-13 13:37:12;0
2022-06-13 13:37:12;0
2022-06-13 13:37:13;0
2022-06-13 13:37:13;0
2022-06-13 13:37:13;0
2022-06-13 13:37:13;0
2022-06-13 13:37:13;0
2022-06-13 13:37:14;0
2022-06-13 13:37:14;0
2022-06-13 13:37:14;0
2022-06-13 13:37:14;0
2022-06-13 13:37:14;0
2022-06-13 13:37:15;0
2022-06-13 13:37:15;0
2022-06-13 13:37:15;0
2022-06-13 13:37:15;0
2022-06-13 13:37:15;0
2022-06-13 13:37:16;0
2022-06-13 13:37:16;0
2022-06-13 13:37:16;0
2022-06-13 13:37:16;0
2022-06-13 13:37:16;0
2022-06-13 13:37:17;0
2022-06-13 13:37:17;0
2022-06-13 13:37:17;0
2022-06-13 13:37:17;0
2022-06-13 13:37:17;0
2022-06-13 13:37:17;0
2022-06-13 13:37:18;0
2022-06-13 13:37:18;0
2022-06-13 13:37:18;0
2022-06-13 13:37:18;0
2022-06-13 13:37:18;0
2022-06-13 13:37:19;0
2022-06-13 13:37:19;0
2022-06-13 13:37:19;0
2022-06-13 13:37:20;0
2022-06-13 13:37:21;0
2022-06-13 13:37:22;0
2022-06-13 13:37:22;0
2022-06-13 13:37:22;0
2022-06-13 13:37:23;0
2022-06-13 13:37:23;0
2022-06-13 13:37:24;0
2022-06-13 13:37:24;0
2022-06-13 13:37:24;0
